Nose,1631719670477,-0.232,-0.174,0.585
Spine,1631719670477,-0.139,-0.06,0.672
Right Shoulder,1631719670477,-0.305,-0.054,0.735
Right Elbow,1631719670477,-0.339,0.119,0.634
Right Wrist,1631719670477,-0.295,0.115,0.612
Left Shoulder,1631719670477,0.001,-0.084,0.667
Left Elbow,1631719670477,,,
Left Wrist,1631719670477,,,
Right Hip,1631719670477,,,
Right Knee,1631719670477,,,
Right Ankle,1631719670477,,,
Left Hip,1631719670477,,,
Left Knee,1631719670477,,,
Left Ankle,1631719670477,,,
Right Eye,1631719670477,-0.266,-0.205,0.617
Left Eye,1631719670477,-0.205,-0.208,0.594
Left Ear,1631719670477,,,
Right Ear,1631719670477,-0.135,-0.229,0.655
Nose,1631719670513,-0.216,-0.177,0.596
Spine,1631719670513,-0.152,-0.061,0.68
Right Shoulder,1631719670513,-0.307,-0.054,0.74
Right Elbow,1631719670513,-0.323,0.144,0.605
Right Wrist,1631719670513,-0.338,0.083,0.613
Left Shoulder,1631719670513,0.001,-0.071,0.657
Left Elbow,1631719670513,0.094,0.143,0.6
Left Wrist,1631719670513,,,
Right Hip,1631719670513,-0.926,1.292,2.684
Right Knee,1631719670513,,,
Right Ankle,1631719670513,,,
Left Hip,1631719670513,,,
Left Knee,1631719670513,,,
Left Ankle,1631719670513,,,
Right Eye,1631719670513,-0.245,-0.217,0.62
Left Eye,1631719670513,-0.186,-0.22,0.601
Left Ear,1631719670513,,,
Right Ear,1631719670513,-0.117,-0.227,0.683
Nose,1631719670545,-0.215,-0.187,0.593
Spine,1631719670545,-0.137,-0.048,0.665
Right Shoulder,1631719670545,-0.307,-0.054,0.741
Right Elbow,1631719670545,,,
Right Wrist,1631719670545,-0.339,0.083,0.616
Left Shoulder,1631719670545,0.001,-0.071,0.658
Left Elbow,1631719670545,0.083,0.131,0.592
Left Wrist,1631719670545,,,
Right Hip,1631719670545,-1.054,1.401,2.91
Right Knee,1631719670545,,,
Right Ankle,1631719670545,,,
Left Hip,1631719670545,,,
Left Knee,1631719670545,,,
Left Ankle,1631719670545,,,
Right Eye,1631719670545,-0.245,-0.216,0.618
Left Eye,1631719670545,-0.197,-0.221,0.602
Left Ear,1631719670545,,,
Right Ear,1631719670545,-0.117,-0.227,0.683
Nose,1631719670585,-0.216,-0.177,0.595
Spine,1631719670585,-0.138,-0.049,0.669
Right Shoulder,1631719670585,-0.307,-0.054,0.74
Right Elbow,1631719670585,-0.332,0.148,0.622
Right Wrist,1631719670585,-0.343,0.084,0.622
Left Shoulder,1631719670585,0.001,-0.071,0.657
Left Elbow,1631719670585,0.094,0.142,0.597
Left Wrist,1631719670585,-0.113,0.104,0.507
Right Hip,1631719670585,,,
Right Knee,1631719670585,,,
Right Ankle,1631719670585,,,
Left Hip,1631719670585,,,
Left Knee,1631719670585,,,
Left Ankle,1631719670585,,,
Right Eye,1631719670585,-0.245,-0.216,0.619
Left Eye,1631719670585,-0.196,-0.221,0.601
Left Ear,1631719670585,,,
Right Ear,1631719670585,-0.116,-0.237,0.677
Nose,1631719670617,-0.224,-0.176,0.591
Spine,1631719670617,-0.151,-0.061,0.678
Right Shoulder,1631719670617,-0.306,-0.054,0.738
Right Elbow,1631719670617,-0.331,0.148,0.62
Right Wrist,1631719670617,-0.346,0.085,0.628
Left Shoulder,1631719670617,0.001,-0.071,0.658
Left Elbow,1631719670617,0.083,0.141,0.592
Left Wrist,1631719670617,,,
Right Hip,1631719670617,-1.006,1.338,2.779
Right Knee,1631719670617,,,
Right Ankle,1631719670617,,,
Left Hip,1631719670617,,,
Left Knee,1631719670617,,,
Left Ankle,1631719670617,,,
Right Eye,1631719670617,-0.245,-0.216,0.618
Left Eye,1631719670617,-0.197,-0.221,0.602
Left Ear,1631719670617,,,
Right Ear,1631719670617,-0.117,-0.228,0.683
Nose,1631719670647,-0.216,-0.177,0.596
Spine,1631719670647,-0.139,-0.049,0.671
Right Shoulder,1631719670647,-0.307,-0.054,0.741
Right Elbow,1631719670647,,,
